Pot,Amount,Dead,Alive,Mobile,Total,Starved,Colony,Dose
BT0,2.8,1,56,56,57,FALSE,T,0
BT10,2.3,68,2,2,70,FALSE,T,10
BT2,0,11,107,107,118,TRUE,T,2
BT4,1.3,5,65,65,70,FALSE,T,4
BT6,2.3,25,17,15,42,FALSE,T,6
BT8,2.3,70,4,1,74,FALSE,T,8
GC0,0,3,77,77,80,TRUE,C,0
GC10,1.9,81,24,5,105,FALSE,C,10
GC2,0.8,0,50,50,50,FALSE,C,2
GC4,1.7,4,43,43,47,FALSE,C,4
GC6,1.5,38,40,23,115,FALSE,C,6
GC8,2.3,17,36,21,53,FALSE,C,8
OD0,0,89,0,0,89,TRUE,D,0
OD10,2.2,111,6,3,117,FALSE,D,10
OD2,0.4,5,50,50,55,FALSE,D,2
OD4,1.5,7,39,39,46,FALSE,D,4
OD6,1.1,46,64,64,110,FALSE,D,6
OD8,2.1,53,6,5,59,FALSE,D,8
PT0,0.6,3,57,57,60,FALSE,T,0
PT10,2.2,29,21,18,50,FALSE,T,10
PT2,2.8,1,57,57,58,FALSE,T,2
PT4,1.7,5,62,62,67,FALSE,T,4
PT6,2.1,1,104,104,105,FALSE,T,6
PT8,2.3,11,55,55,66,FALSE,T,8
RC0,0,0,69,69,69,TRUE,C,0
RC10,1.8,69,29,0,98,FALSE,C,10
RC2,0.3,2,63,63,65,FALSE,C,2
RC4,2.7,8,57,57,65,FALSE,C,4
RC6,1.7,31,57,24,88,FALSE,C,6
RC8,2,68,11,11,79,FALSE,C,8
YD0,0,23,66,66,89,TRUE,D,0
YD10,2.4,39,3,1,42,FALSE,D,10
YD2,0,140,6,3,146,TRUE,D,2
YD4,1.3,23,51,51,74,FALSE,D,4
YD6,2.1,115,0,0,115,TRUE,D,6
YD8,2.4,42,5,3,47,FALSE,D,8
