"Colony","Concentration","Control","Test","UCol","RV","Sugar"
"Yellow",50,0.32,0.01,"YellowG",-0.46969696969697,"Glucose"
"Yellow",50,0.22,0.1,"YellowG",-0.1875,"Glucose"
"Yellow",50,0.78,0.18,"YellowG",-0.3125,"Glucose"
"Yellow",50,0.55,0.13,"YellowG",-0.308823529411765,"Glucose"
"Yellow",50,0.16,0.14,"YellowG",-0.0333333333333334,"Glucose"
"Yellow",50,0.43,0.04,"YellowG",-0.414893617021277,"Glucose"
"Pink",50,0.52,0.25,"PinkG",-0.175324675324675,"Glucose"
"Pink",50,1,0.18,"PinkG",-0.347457627118644,"Glucose"
"Pink",50,0.72,0.12,"PinkG",-0.357142857142857,"Glucose"
"Pink",50,0.64,0.04,"PinkG",-0.441176470588235,"Glucose"
"Pink",50,0.68,0.24,"PinkG",-0.239130434782609,"Glucose"
"Pink",50,0.34,0.05,"PinkG",-0.371794871794872,"Glucose"
"Blue",50,0.35,0.3,"BlueG",-0.0384615384615384,"Glucose"
"Blue",50,0.55,0.08,"BlueG",-0.373015873015873,"Glucose"
"Blue",50,0.38,0.22,"BlueG",-0.133333333333333,"Glucose"
"Blue",50,0.41,0.11,"BlueG",-0.288461538461538,"Glucose"
"Blue",50,0.82,0.14,"BlueG",-0.354166666666667,"Glucose"
"Blue",50,0.24,0.3,"BlueG",0.0555555555555555,"Glucose"
"Red",50,0.84,0.14,"RedG",-0.357142857142857,"Glucose"
"Red",50,0.95,0.15,"RedG",-0.363636363636364,"Glucose"
"Red",50,0.66,0.16,"RedG",-0.304878048780488,"Glucose"
"Red",50,0.52,0.08,"RedG",-0.366666666666667,"Glucose"
"Red",50,0.63,0.11,"RedG",-0.351351351351351,"Glucose"
"Red",50,0.52,0.21,"RedG",-0.212328767123288,"Glucose"
