"Colony","Concentration","Control","Test","UCol","RV","Sugar"
"A",1000,0.38,0.2,"AG",-0.155172413793103,"Glucose"
"A",100,0.52,0.08,"AG",-0.366666666666667,"Glucose"
"A",10,0.48,0.12,"AG",-0.3,"Glucose"
"A",1,0.72,0.14,"AG",-0.337209302325581,"Glucose"
"A",0.1,0.18,0.08,"AG",-0.192307692307692,"Glucose"
"A",0.01,0.46,0.14,"AG",-0.266666666666667,"Glucose"
"A",1000,0.3,0.46,"AG",0.105263157894737,"Glucose"
"A",100,0.36,0.05,"AG",-0.378048780487805,"Glucose"
"A",10,0.54,0.07,"AG",-0.385245901639344,"Glucose"
"A",1,0.41,0.05,"AG",-0.391304347826087,"Glucose"
"A",0.1,0.26,0.02,"AG",-0.428571428571429,"Glucose"
"A",0.01,0.54,0.08,"AG",-0.370967741935484,"Glucose"
"B",1000,0.32,0.55,"BG",0.132183908045977,"Glucose"
"B",100,0.31,0.06,"BG",-0.337837837837838,"Glucose"
"B",10,0.35,0.2,"BG",-0.136363636363636,"Glucose"
"B",1,0.38,0.07,"BG",-0.344444444444444,"Glucose"
"B",0.1,0.52,0.08,"BG",-0.366666666666667,"Glucose"
"B",0.01,0.43,0.12,"BG",-0.281818181818182,"Glucose"
"B",1000,0.3,0.4,"BG",0.0714285714285715,"Glucose"
"B",100,0.34,0.21,"BG",-0.118181818181818,"Glucose"
"B",10,0.24,0.16,"BG",-0.1,"Glucose"
"B",1,0.7,0.1,"BG",-0.375,"Glucose"
"B",0.1,0.32,0.15,"BG",-0.180851063829787,"Glucose"
"B",0.01,0.54,0.06,"BG",-0.4,"Glucose"
"C",1000,0.2,0.18,"CG",-0.0263157894736842,"Glucose"
"C",100,0.14,0.14,"CG",0,"Glucose"
"C",10,0.15,0,"CG",-0.5,"Glucose"
"C",1,0.05,0.08,"CG",0.115384615384615,"Glucose"
"C",0.1,0.16,0.05,"CG",-0.261904761904762,"Glucose"
"C",0.01,0.12,0.21,"CG",0.136363636363636,"Glucose"
"C",1000,0.14,0.15,"CG",0.0172413793103448,"Glucose"
"C",100,0.01,0.02,"CG",0.166666666666667,"Glucose"
"C",10,0.13,0.34,"CG",0.223404255319149,"Glucose"
"C",1,0.08,0.19,"CG",0.203703703703704,"Glucose"
"C",0.1,0.13,0.14,"CG",0.0185185185185185,"Glucose"
"C",0.01,0.16,0.12,"CG",-0.0714285714285715,"Glucose"
