"Colony","Concentration","Control","Test","UCol","RV","Sugar"
"Green",50,0.15,0.18,"GreenS",0.0454545454545455,"Sucrose"
"Green",50,0.42,0.24,"GreenS",-0.136363636363636,"Sucrose"
"Green",50,0.21,0.14,"GreenS",-0.0999999999999999,"Sucrose"
"Green",50,0.08,0.15,"GreenS",0.152173913043478,"Sucrose"
"Green",50,0.42,0.18,"GreenS",-0.2,"Sucrose"
"Green",50,0.22,0.08,"GreenS",-0.233333333333333,"Sucrose"
"Green",50,0.11,0.14,"GreenS",0.0600000000000001,"Sucrose"
"Green",50,0.45,0.15,"GreenS",-0.25,"Sucrose"
"Red",50,0.75,0.22,"RedS",-0.27319587628866,"Sucrose"
"Red",50,0.33,0.25,"RedS",-0.0689655172413793,"Sucrose"
"Red",50,0.56,0.18,"RedS",-0.256756756756757,"Sucrose"
"Red",50,0.76,0.24,"RedS",-0.26,"Sucrose"
"Red",50,1,0.14,"RedS",-0.37719298245614,"Sucrose"
"Red",50,0.98,0.18,"RedS",-0.344827586206897,"Sucrose"
"Red",50,1,0.28,"RedS",-0.28125,"Sucrose"
"Red",50,0.95,0.14,"RedS",-0.371559633027523,"Sucrose"
"Orange",50,0.81,0.06,"OrangeS",-0.431034482758621,"Sucrose"
"Orange",50,0.84,0.21,"OrangeS",-0.3,"Sucrose"
"Orange",50,0.96,0.13,"OrangeS",-0.380733944954128,"Sucrose"
"Orange",50,0.21,0.2,"OrangeS",-0.0121951219512195,"Sucrose"
"Orange",50,0.25,0.12,"OrangeS",-0.175675675675676,"Sucrose"
"Orange",50,0.07,0.14,"OrangeS",0.166666666666667,"Sucrose"
"Orange",50,0.44,0.12,"OrangeS",-0.285714285714286,"Sucrose"
"Orange",50,0.65,0.22,"OrangeS",-0.247126436781609,"Sucrose"
